DEPARTMENT|EMPLOYEE_ID|SALARY
D3|0|10852$
D4|1|14776$
D6|2|6006$
D3|3|4785$
D1|4|5605$
D3|5|4564$
D2|6|4542$
D2|7|9822$
D5|8|13340$
D6|9|5146$
D1|10|10980$
D3|11|11714$
D5|12|10002$
D1|13|6554$
D1|14|6764$
D4|15|11914$
D1|16|6897$
D5|17|8333$
D6|18|6276$
D1|19|9932$
D6|20|8373$
D4|21|4818$
D4|22|11128$
D3|23|12931$
D2|24|12494$
D2|25|11699$
D5|26|9401$
D1|27|14656$
D5|28|5642$
D4|29|5960$
D2|30|13955$
D4|31|7496$
D4|32|12123$
D6|33|4275$
D3|34|4329$
D1|35|11340$
D4|36|10690$
D1|37|8783$
D3|38|13927$
D1|39|13785$
D4|40|9622$
D2|41|9296$
D2|42|5876$
D1|43|6971$
D5|44|5136$
D5|45|5195$
D4|46|14402$
D6|47|13469$
D6|48|9155$
D5|49|12425$
D5|50|13841$
D2|51|4986$
D6|52|13069$
D5|53|13883$
D1|54|14562$
D3|55|9405$
D5|56|9312$
D5|57|11806$
D6|58|5416$
D3|59|12566$
D2|60|11666$
D6|61|9580$
D5|62|14590$
D4|63|11923$
D4|64|14576$
D3|65|10572$
D1|66|13370$
D3|67|4520$
D6|68|13828$
D4|69|14321$
D3|70|9674$
D5|71|5486$
D3|72|11387$
D3|73|4908$
D5|74|8797$
D6|75|4097$
D2|76|4762$
D3|77|14489$
D5|78|14045$
D3|79|6100$
D2|80|9405$
D6|81|14698$
D6|82|11876$
D4|83|9681$
D5|84|13775$
D2|85|10628$
D3|86|7329$
D5|87|6517$
D3|88|12380$
D5|89|9808$
D2|90|4902$
D6|91|4414$
D3|92|8406$
D2|93|6129$
D3|94|12498$
D4|95|10263$
D6|96|6733$
D6|97|14043$
D6|98|5756$
D4|99|6474$
D4|100|10886$
D4|101|8691$
D3|102|5974$
D6|103|5095$
D2|104|13176$
D1|105|4685$
D5|106|14937$
D5|107|6059$
D6|108|10761$
D5|109|4149$
D5|110|14506$
D2|111|11266$
D5|112|12549$
D1|113|12324$
D2|114|8814$
D5|115|13062$
D2|116|10832$
D1|117|13184$
D2|118|4977$
D6|119|5358$
D2|120|10696$
D6|121|8625$
D6|122|7358$
D5|123|13367$
D4|124|12166$
D5|125|12127$
D3|126|5089$
D1|127|13912$
D6|128|7366$
D5|129|8185$
D5|130|9487$
D3|131|7160$
D3|132|14111$
D2|133|12771$
D2|134|6015$
D1|135|12245$
D5|136|14297$
D3|137|9799$
D5|138|12162$
D3|139|9564$
D4|140|7379$
D2|141|14195$
D6|142|7827$
D1|143|9307$
D1|144|4342$
D5|145|10252$
D1|146|8200$
D6|147|14901$
D6|148|14366$
D5|149|12639$
D2|150|8140$
D6|151|12718$
D2|152|6380$
D1|153|9334$
D6|154|14710$
D4|155|12228$
D6|156|12384$
D1|157|4122$
D2|158|7508$
D4|159|5844$
D1|160|10713$
D2|161|6493$
D1|162|14858$
D3|163|13633$
D4|164|11699$
D2|165|7914$
D1|166|5403$
D2|167|12078$
D1|168|6518$
D5|169|10250$
D5|170|8908$
D2|171|13017$
D3|172|6747$
D5|173|10851$
D1|174|11951$
D1|175|4217$
D1|176|9043$
D3|177|7710$
D6|178|5305$
D4|179|13138$
D4|180|9756$
D2|181|7910$
D3|182|11245$
D5|183|12434$
D3|184|11382$
D3|185|13489$
D6|186|6031$
D5|187|9000$
D4|188|14721$
D2|189|8666$
D5|190|7449$
D2|191|14372$
D2|192|13080$
D2|193|9475$
D6|194|8220$
D2|195|12168$
D2|196|5369$
D1|197|5820$
D1|198|8794$
D2|199|12239$
D5|200|10739$
D4|201|7507$
D1|202|11120$
D5|203|13431$
D2|204|10780$
D6|205|9207$
D6|206|5150$
D5|207|10444$
D1|208|7084$
D4|209|13828$
D6|210|4290$
D4|211|8049$
D3|212|11886$
D5|213|7697$
D3|214|14483$
D4|215|10788$
D1|216|14229$
D6|217|12850$
D6|218|8132$
D1|219|13274$
D1|220|7012$
D4|221|4389$
D4|222|11392$
D1|223|8830$
D3|224|6460$
D5|225|10178$
D2|226|7052$
D2|227|10804$
D6|228|7795$
D6|229|4722$
D4|230|10316$
D1|231|9706$
D2|232|10673$
D5|233|6161$
D5|234|13109$
D6|235|12789$
D1|236|14268$
D2|237|6497$
D6|238|5848$
D3|239|10638$
D6|240|4538$
D3|241|7771$
D6|242|11937$
D5|243|13679$
D4|244|5434$
D2|245|12960$
D6|246|10194$
D1|247|11440$
D2|248|10837$
D6|249|4868$
D4|250|13945$
D1|251|5081$
D2|252|13510$
D6|253|11160$
D6|254|7490$
D4|255|6365$
D6|256|12705$
D2|257|14424$
D6|258|7037$
D6|259|14047$
D3|260|10399$
D6|261|8659$
D5|262|8307$
D2|263|5265$
D1|264|9109$
D1|265|8383$
D3|266|10002$
D3|267|5719$
D2|268|9345$
D6|269|7211$
D5|270|7209$
D2|271|10640$
D3|272|6831$
D3|273|9972$
D4|274|10498$
D5|275|9672$
D6|276|10651$
D3|277|6016$
D1|278|11655$
D4|279|12903$
D5|280|14464$
D3|281|13312$
D5|282|12324$
D3|283|11728$
D2|284|10763$
D3|285|6178$
D1|286|4795$
D3|287|13991$
D5|288|9725$
D5|289|14529$
D5|290|9160$
D5|291|4181$
D2|292|4573$
D5|293|5433$
D3|294|8475$
D5|295|5551$
D3|296|14530$
D2|297|6380$
D1|298|8825$
D4|299|10521$
D2|300|9696$
D6|301|11674$
D6|302|13546$
D3|303|7312$
D6|304|4363$
